,City,Country,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,Rikitea,PF,-23.12,-134.97,21.27,79,0,8.73,1595796109
1,Hikari,JP,33.95,131.95,24.0,94,75,4.1,1595796109
2,Mataura,NZ,-46.19,168.86,3.89,83,0,1.34,1595796110
3,Finnsnes,NO,69.23,17.98,16.0,63,20,8.7,1595796110
4,Port Elizabeth,ZA,-33.92,25.57,13.0,87,62,3.1,1595796110
5,Tezu,IN,27.92,96.17,24.71,76,74,1.03,1595796110
6,Cap Malheureux,MU,-19.98,57.61,21.11,71,100,4.02,1595795771
7,Saint-Philippe,RE,-21.36,55.77,19.0,77,71,2.6,1595796110
8,Narsaq,GL,60.92,-46.05,12.0,66,75,3.1,1595795940
9,Vanavara,RU,60.34,102.28,13.54,83,100,2.74,1595795781
10,Gevrai,IN,19.27,75.75,25.73,78,45,5.78,1595796110
11,Vaini,TO,-21.2,-175.2,21.0,88,75,3.6,1595796111
12,Nānākuli,US,21.39,-158.15,29.0,66,75,4.6,1595796111
13,Hudiksvall,SE,61.73,17.1,16.67,73,6,4.43,1595796111
14,Bambous Virieux,MU,-20.34,57.76,21.11,73,75,8.2,1595795776
15,Waddān,LY,29.16,16.14,27.91,31,0,5.21,1595796111
16,Bandarbeyla,SO,9.49,50.81,25.6,79,0,10.82,1595796111
17,Puerto Carreño,CO,6.19,-67.49,32.0,52,40,3.1,1595796111
18,Cayenne,GF,4.93,-52.33,26.0,83,84,1.5,1595795786
19,Cherskiy,RU,68.75,161.3,25.04,36,9,6.66,1595796112
20,Itarema,BR,-2.92,-39.92,26.15,70,41,6.02,1595796112
21,Sa Kaeo,TH,13.81,102.07,24.29,92,85,0.82,1595796112
22,Carnarvon,AU,-24.87,113.63,12.0,100,0,3.1,1595796112
23,Andreapol',RU,56.65,32.27,14.6,83,100,1.88,1595796112
24,Hobart,AU,-42.88,147.33,7.22,87,90,5.1,1595796019
25,Cidreira,BR,-30.18,-50.21,13.91,81,100,6.18,1595795775
26,Bintulu,MY,3.17,113.03,25.0,100,40,1.0,1595796113
27,Lompoc,US,34.64,-120.46,21.67,68,9,7.2,1595795764
28,Albany,US,42.6,-73.97,33.33,32,21,4.35,1595795944
29,Mar del Plata,AR,-38.0,-57.56,11.11,76,100,6.2,1595796113
30,Ancud,CL,-41.87,-73.82,8.89,65,40,5.1,1595795784
31,Abay,KZ,49.63,72.85,11.0,93,2,2.0,1595796113
32,Ponta do Sol,PT,32.67,-17.1,21.0,73,20,6.7,1595796113
33,Marabba,SD,12.35,32.18,27.05,69,44,7.09,1595796113
34,Kapaa,US,22.08,-159.32,27.78,88,90,8.2,1595795996
35,Haines Junction,CA,60.75,-137.51,14.62,54,35,6.96,1595796113
36,Airai,TL,-8.93,125.41,11.91,83,73,1.88,1595796114
37,Lebu,CL,-37.62,-73.65,10.74,80,100,4.56,1595796114
38,Puerto Ayora,EC,-0.74,-90.35,26.0,57,20,10.8,1595796114
39,São José da Coroa Grande,BR,-8.9,-35.15,24.04,80,77,5.98,1595796101
40,Marawi,PH,8.0,124.29,24.44,91,49,0.89,1595796114
41,Karratha,AU,-20.74,116.85,17.71,30,65,6.0,1595795772
42,Punta Arenas,CL,-53.15,-70.92,4.0,64,20,7.2,1595796115
43,Hilo,US,19.73,-155.09,30.0,62,75,2.6,1595796115
44,Adré,TD,13.47,22.2,25.26,73,78,4.42,1595796115
45,Nālūt,LY,30.33,10.85,29.53,21,0,6.96,1595796115
46,San Andrés,CO,12.58,-81.7,26.0,88,40,4.1,1595796115
47,Mahibadhoo,MV,3.78,72.97,28.07,68,99,2.67,1595795781
48,Arraial do Cabo,BR,-22.97,-42.03,25.0,73,40,3.1,1595795954
49,Khatanga,RU,71.97,102.5,4.27,85,100,4.23,1595795773
50,Kieta,PG,-6.22,155.63,26.87,76,98,2.94,1595796116
51,Bathsheba,BB,13.22,-59.52,31.0,62,40,7.7,1595796116
52,Nelson Bay,AU,-32.72,152.15,13.33,100,90,10.3,1595795765
53,Arroyo de la Encomienda,ES,41.61,-4.8,30.0,23,0,1.86,1595796116
54,Qaanaaq,GL,77.48,-69.36,8.57,53,0,2.94,1595796116
55,Linqiong,CN,30.42,103.46,23.0,69,0,0.76,1595796116
56,Todos Santos,MX,23.45,-110.22,23.89,81,3,1.79,1595796116
57,Tasiilaq,GL,65.61,-37.64,8.0,75,94,4.1,1595796116
58,Margate,GB,51.38,1.39,18.33,78,100,0.89,1595796116
59,Acapulco de Juárez,MX,16.86,-99.89,32.0,62,75,3.1,1595796117
60,Vardø,NO,70.37,31.11,13.0,87,23,7.2,1595795798
